# 中文→英文映射 v7（1440 条）
3D渲染	3D Rendering
渐进式 Web 应用（PWA）	Progressive Web App (PWA)
温度	Temperature
渲染	Rendering
游离的 HEAD	Detached HEAD
源代码	Source Code
滑动窗口	Sliding Window
激活函数	Activation Function
灰度发布	Canary Release
灾难性遗忘	Catastrophic Forgetting
点云	Point Cloud
点对点网络	Peer-to-Peer (P2P)
热更新	Hot Reload
熔断器	Circuit Breaker
爬虫	Web Crawler
版本号	Version Number
版本控制	Version Control
特征	Feature
特征工程	Feature Engineering
特征归因	Feature Attribution
特征提取	Feature Extraction
特征选择	Feature Selection
状态	State
状态机	State Machine
状态机图	State Machine Graph
状态码	Status Code
状态管理	State Management
环境	Environment
环境变量	Environment Variable
生产环境	Production Environment
生成参数	Generation Parameters
生成器	Generator
生成对抗网络	GAN
生成式 AI	Generative AI
生成式问答	Generative QA
用户	User
用户态	User Mode
用户数据报协议	UDP
用户权限	User Permission
用户认证	User Authentication
监控	Monitoring
监督学习	Supervised Learning
目录结构	Directory Structure
目标检测	Object Detection
直接偏好优化	DPO
相似度	Similarity
相似度计算	Similarity Computation
看板	Kanban
知识图谱	Knowledge Graph
知识库	Knowledge Base
知识蒸馏	Knowledge Distillation
矩阵乘法	Matrix Multiplication
矩阵运算	Matrix Operations
短期记忆	Short-Term Memory
硬件中断	Hardware Interrupt
硬盘	Hard Disk
确定性验证	Deterministic Verification
示例	Few-shot
神经元	Neuron
神经架构搜索	NAS
神经符号 AI	Neuro-Symbolic AI
神经网络	Neural Network
神经网络处理器	NPU
神经网络量化	Neural Network Quantization
神经辐射场	NeRF
私钥	Private Key
科学计算智能	AI for Science
稀疏检索	Sparse Retrieval
程序	Program
程序崩溃	Program Crash
程序日志	Application Log
程序调试	Debugging
稠密检索	Dense Retrieval
稳定扩散	Stable Diffusion
稳定排序	Stable Sort
空值	Null
空间复杂度	Space Complexity
窗口	Window
站点可靠性工程（SRE）	SRE (Site Reliability Engineering)
竞争	Competition
竞争学习	Competitive Learning
端到端学习	End-to-End Learning
端到端测试	End-to-End Test
端口	Port
端口映射	Port Mapping
符号主义	Symbolicism
第二循环元认知	Second-Loop Meta-Cognition
策略	Policy
策略梯度	Policy Gradient
算法	Algorithm
算法与数据结构	Data Structures and Algorithms
算法复杂度	Algorithm Complexity
算法收敛	Algorithm Convergence
算法策略	Algorithm Strategy
算法透明性	Algorithm Transparency
算法问责制	Algorithmic Accountability
管道	Pipe
管道命令	Pipe Command
类	Class
类继承	Class Inheritance
系统启动	System Startup
系统引导	System Boot
系统提示	System Prompt
系统提示词	System Prompt
系统日志	System Log
系统权限	System Permission
系统架构	System Architecture
系统监控	System Monitoring
系统调用	System Call
系统进程	System Process
系统透明性	System Transparency
系统镜像	System Image
索引	Index
红队测试	Red Teaming
纳什均衡	Nash Equilibrium
线性表	Linear List
线程	Thread
线程执行器	Thread Executor
线程死锁	Thread Deadlock
组件	Component
组件化开发	Component-Based Development
组归一化	Group Normalization
终端	Terminal
终身学习	Lifelong Learning
结构化查询语言	SQL
结构化输出	Structured Output
统一计算设备架构	CUDA
统一资源定位符	URL
继承	Inheritance
缓冲区	Buffer
缓冲区溢出	Buffer Overflow
缓存	Cache
缓存策略	Cache Policy
编排	Orchestration
编排引擎	Orchestration Engine
编排者	Orchestrator
编码	Encoding
编码器解码器	Encoder-Decoder
编程函数	Function
编程参数	Parameter
编程变量	Variable
编程接口	API
编程插入符	Caret
编程模块	Module
编程算法	Algorithm
编程范式	Programming Paradigm
编程语法	Programming Syntax
编程钩子	Programming Hook
编译	Compile
编译器	Compiler
编译选项	Compiler Options
编辑器	Editor
网关	Gateway
网络	Network
网络代理	Proxy
网络会话	Network Session
网络吞吐量	Network Throughput
网络延迟	Network Latency
网络探针	Network Probe
网络端口	Network Port
网络超时	Network Timeout
网络连接	Network Connection
网页抓取	Web Scraping
网页货币化（W3C 支付流标准）	Web Monetization
美国信息交换标准代码	ASCII
群体智能	Collective Intelligence
联邦学习	Federated Learning
聚类	Clustering
聚类分析	Clustering
胶囊网络	Capsule Network
脉冲神经网络	Spiking Neural Network
脑浮点	BF16
脚手架	Scaffold
脚本	Script
自主式 AI	Agentic AI
自主性	Autonomy
自主性程度	Autonomy Level
自动代码生成	Automatic Code Generation
自动生成	Auto-generation
自动补全	Autocomplete
自动驾驶	Autonomous Driving
自助聚合	Bagging
自我修复循环	Self-Repair Loop
自我博弈	Self-Play
自我反思	Self-Reflection
自我批评	Self-Criticism
自治智能体	Autonomous Agent
自注意力	Self-Attention
自洽性	Self-Consistency
自洽性解码	Self-Consistency
自然语言处理	Natural Language Processing
自监督学习	Self-Supervised Learning
自聚合	Self-Assembly
自述文件	README
范式	Normal Form
莫拉维克悖论	Moravec's Paradox
菜单	Menu
蒸馏	Knowledge Distillation
虚拟 DOM	Virtual DOM
虚拟专用网络	VPN
虚拟内存	Virtual Memory
虚拟机	Virtual Machine
蜜罐	Honeypot
行	Row
行为主义	Behaviorism
行为克隆	Behavior Cloning
表	Table
表示学习	Representation Learning
观测	Observation
规划	Planning
规划模式	Plan Mode
规格	Specification
规模定律	Scaling Laws
规范驱动开发	Specification-Driven Development
视图	View
视觉模型	Vision Model
视觉语言模型	VLM
视觉问答	VQA
视频世界模型	Video World Model
视频理解	Video Understanding
视频编码	Video Encoding
角色专业化	Role Specialization
角色分工	Role Assignment
角色扮演	Role Playing
角色提示	Role Prompting
解析器	Parser
解释	Interpret
触发器	Trigger
计算广告	Computational Advertising
计算机	Computer
计算机程序	Computer Program
计算机网络	Computer Network
计算机视觉	Computer Vision
计算机进程	Process
认知架构	Cognitive Architecture
认证	Authentication
训练	Training
训练损失	Training Loss
训练集	Training Set
记忆	Memory
记忆增强强化学习	MemRL
记忆管理	Memory Management
论文精读	Paper Intensive Reading
设计模式	Design Pattern
证书	Certificate
证书过期	Certificate Expiration
评估	Evals
评估集	evals
评审	Review
词元	Token
词嵌入	Embedding
词性标注	Part-of-Speech Tagging
词袋模型	Bag of Words
语义分割	Semantic Segmentation
语义切分	Semantic Chunking
语义化	Semantic HTML
语义化版本	Semantic Versioning
语义检索	Semantic Search
语义相似度	Semantic Similarity
语义网	Semantic Web
语义角色标注	Semantic Role Labeling
语义记忆	Semantic Memory
语法	Syntax
语法分析	Syntax Analysis
语言 Agent 树搜索	LATS
语言模型	Language Model
语音合成	Text-to-Speech
语音模型	Speech Model
语音识别	Automatic Speech Recognition
请求	Request
请求体	Request Body
请求头	Request Header
请求超时	Request Timeout
读写分离	Read-Write Splitting
课程学习	Curriculum Learning
调度	Scheduling
调试	Debug
贝尔曼方程	Bellman Equation
负责任AI	Responsible AI
负载均衡	Load Balancer
质量校验	Quality Verification
贪心	Greedy Algorithm
贪心算法	Greedy Algorithm
贪心解码	Greedy Decoding
超分辨率	Super Resolution
超文本传输协议	HTTP
超文本标记语言	HTML
超时	Timeout
超级人工智能	Artificial Superintelligence
越狱	Jailbreak
越狱提示词	Jailbreak Prompt
跨模态对齐	Cross-modal Alignment
跨站脚本攻击	XSS
跨站请求伪造	CSRF
路径	Path
路径规划	Path Planning
路由	Routing
路由器	Router
身份认证	Identity Authentication
轮	Epoch
软件	Software
软件即服务	SaaS
软件发布	Software Release
软件构建	Software Build
软件架构	Software Architecture
软件框架	Software Framework
软件规格	Software Specification
软件部署	Software Deployment
软件重构	Software Refactoring
软件需求	Software Requirements
输出解析	Output Parsing
辩论	Debate
边界约束	Boundary Constraints
边缘 AI	Edge AI
边缘计算	Edge Computing
达利	DALL-E
迁移	Migration
迁移学习	Transfer Learning
过拟合	Overfitting
运行时	Runtime
运行时防护	Runtime Protection
运行环境	Runtime Environment
近似最近邻	ANN
近端策略优化	PPO
返回值	Return Value
进程	Process
进程管理	Process Management
进程调度	Process Scheduling
进程间通信	Inter-Process Communication
远程仓库	Remote Repository
连接	Join
连接主义	Connectionism
连续批处理	Continuous Batching
迭代	Iteration
迭代算法	Iterative Algorithm
逆强化学习	Inverse Reinforcement Learning
选择性元认知	Selective Meta-Cognition
选项	Option
透明性	Transparency
递归	Recursion
递归切分	Recursive Chunking
递归自我提升	Recursive Self-Improvement
通用人工智能	AGI
通配符	Wildcard
遍历	Traversal
遗传算法	Genetic Algorithm
部分可观测马尔可夫决策过程	Partially Observable MDP
部署	Deployment
采样	Sampling
采样参数	Sampling Parameters
采样开关	Sampling Switch
里程碑	Milestone
重叠切分	Overlapping Chunking
重复惩罚	Repetition Penalty
重定向	Redirection
重排序	Rerank
重构	Refactoring
重试	Retry
重试规则	retry
量化	Quantization
量化交易	Quantitative Trading
量子机器学习	Quantum Machine Learning
量子计算	Quantum Computing
鉴权	Authentication
钩子	hooks
链式法则	Chain Rule
链表	Linked List
锁文件	Lock file
错误处理	Error Handling
键值数据库	Key-Value Store
键值缓存	KV Cache
镜像	Image
长期记忆	Long-Term Memory
长短期记忆网络	LSTM
长链推理	Long-chain Reasoning
门控	Gating
门控循环单元	GRU
闭源	Closed Source
闭环	Closed Loop
闭环反馈	Closed-Loop Feedback
闭环控制	Closed-Loop Control
问答系统	Question Answering
问责制	Accountability
队列	Queue
队列数据结构	Queue Data Structure
防火墙	Firewall
阿里云	Alibaba Cloud
降维	Dimensionality Reduction
降维算法	Dimensionality Reduction
随机失活	Dropout
随机梯度下降	SGD
随机森林	Random Forest
隐私保护	Privacy Protection
隐私保护ML	Privacy-Preserving ML
集合	Set
集合数据结构	Set Data Structure
集合类型	Set Type
集成学习	Ensemble Learning
集成开发环境	IDE
集成测试	Integration Test
集束搜索	Beam Search
零信任	Zero Trust
零冗余优化器	ZeRO
零样本	zero-shot
零样本学习	Zero-shot Learning
零样本提示	Zero-shot Prompting
需求	Requirement
需求分析	Requirements Analysis
静态检查	Lint
非关系型	Non-relational
非关系型数据库	NoSQL
非对称加密	Asymmetric Encryption
面向对象	Object-Oriented Programming
面向对象封装	Encapsulation
面向对象编程	Object-Oriented Programming
项目里程碑	Project Milestone
预测性维护	Predictive Maintenance
预训练	Pretraining
领域自适应	Domain Adaptation
频率惩罚	Frequency Penalty
马尔可夫决策过程	Markov Decision Process
驾驭	Harness Layer
驾驭工程	Harness Engineering
验收子代理	verifier sub-agents
验证信号优先级	Verification Signal Priority
验证码	CAPTCHA
高并发	High Concurrency
高斯误差线性单元	GELU
黑板系统	Blackboard System
